method,model,execFolder,round,isAdapt,beta,value
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.92,5.624842503426715
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.93,5.727394964420991
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.94,5.832277750029068
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.95,5.937056526831038
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.96,6.039296961406995
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.97,6.134702685317647
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.98,6.233576002626324
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.99,6.357896586632629
SSMC,ode.MRNATransfection$Builder,exec_20,3,true,0.01,2.1163252068792273
SSMC,ode.MRNATransfection$Builder,exec_20,3,true,0.02,2.4070307837002023
SSMC,ode.MRNATransfection$Builder,exec_20,3,true,0.03,2.5676188893307064
SSMC,ode.MRNATransfection$Builder,exec_20,3,true,0.04,2.721575087879156
SSMC,ode.MRNATransfection$Builder,exec_20,3,true,0.05,2.835028073102267
SSMC,ode.MRNATransfection$Builder,exec_20,3,true,0.06,2.921811792667655
SSMC,ode.MRNATransfection$Builder,exec_20,3,true,0.07,3.0048627303570803
SSMC,ode.MRNATransfection$Builder,exec_20,3,true,0.08,3.0827659406883727
SSMC,ode.MRNATransfection$Builder,exec_20,3,true,0.09,3.152973757132023
SSMC,ode.MRNATransfection$Builder,exec_20,3,true,0.1,3.217378581760853
SSMC,ode.MRNATransfection$Builder,exec_20,3,true,0.11,3.277872816647678
SSMC,ode.MRNATransfection$Builder,exec_20,3,true,0.12,3.336348863865318
SSMC,ode.MRNATransfection$Builder,exec_20,3,true,0.13,3.394699125486592
SSMC,ode.MRNATransfection$Builder,exec_20,3,true,0.14,3.454816003584319
SSMC,ode.MRNATransfection$Builder,exec_20,3,true,0.15,3.5185919002313173
SSMC,ode.MRNATransfection$Builder,exec_20,3,true,0.16,3.5865328262902425
SSMC,ode.MRNATransfection$Builder,exec_20,3,true,0.17,3.656366902061468
SSMC,ode.MRNATransfection$Builder,exec_20,3,true,0.18,3.7277242805226685
SSMC,ode.MRNATransfection$Builder,exec_20,3,true,0.19,3.8003223599429425
SSMC,ode.MRNATransfection$Builder,exec_20,3,true,0.2,3.873878538591393
SSMC,ode.MRNATransfection$Builder,exec_20,3,true,0.21,3.9481102147371248
SSMC,ode.MRNATransfection$Builder,exec_20,3,true,0.22,4.022734786649236
SSMC,ode.MRNATransfection$Builder,exec_20,3,true,0.23,4.09746965259683
SSMC,ode.MRNATransfection$Builder,exec_20,3,true,0.24,4.172032210849009
SSMC,ode.MRNATransfection$Builder,exec_20,3,true,0.25,4.246139859674873
SSMC,ode.MRNATransfection$Builder,exec_20,3,true,0.26,4.319509997343527
SSMC,ode.MRNATransfection$Builder,exec_20,3,true,0.27,4.391860022124069
