method,model,execFolder,round,isAdapt,nExplorationSteps,value
PT-10,demos.XY$Builder,exec_25,4,true,30000,92
PT-10,demos.XY$Builder,exec_25,5,true,60000,158
PT-10,demos.XY$Builder,exec_25,6,true,120000,230
PT-10,demos.XY$Builder,exec_25,7,true,240000,607
PT-10,demos.XY$Builder,exec_25,8,true,480000,674
PT-10,demos.XY$Builder,exec_25,9,true,960000,1219
PT-10,demos.XY$Builder,exec_25,10,true,1920000,2439
PT-10,demos.XY$Builder,exec_25,11,true,3840000,4869
PT-10,demos.XY$Builder,exec_25,12,true,7680750,9799
PT-10,demos.XY$Builder,exec_25,13,true,15360750,19513
PT-10,demos.XY$Builder,exec_25,14,false,30720000,38874
PT-20,demos.AnnealedMVN$Builder,exec_15,0,true,900,83
PT-20,demos.AnnealedMVN$Builder,exec_15,1,true,1500,37
PT-20,demos.AnnealedMVN$Builder,exec_15,2,true,3000,49
PT-20,demos.AnnealedMVN$Builder,exec_15,3,true,6000,57
PT-20,demos.AnnealedMVN$Builder,exec_15,4,true,12000,110
PT-20,demos.AnnealedMVN$Builder,exec_15,5,true,24000,147
PT-20,demos.AnnealedMVN$Builder,exec_15,6,true,48000,329
PT-20,demos.AnnealedMVN$Builder,exec_15,7,true,96000,515
PT-20,demos.AnnealedMVN$Builder,exec_15,8,true,192000,831
PT-20,demos.AnnealedMVN$Builder,exec_15,9,true,384000,1454
PT-20,demos.AnnealedMVN$Builder,exec_15,10,true,768000,2914
PT-20,demos.AnnealedMVN$Builder,exec_15,11,true,1536300,5849
PT-20,demos.AnnealedMVN$Builder,exec_15,12,true,3072300,11566
PT-20,demos.AnnealedMVN$Builder,exec_15,13,false,6144000,23147
PT-20,hier.HierarchicalRockets$Builder,exec_39,0,true,66420,555
PT-20,hier.HierarchicalRockets$Builder,exec_39,1,true,110700,307
PT-20,hier.HierarchicalRockets$Builder,exec_39,2,true,221400,656
PT-20,hier.HierarchicalRockets$Builder,exec_39,3,true,442800,1002
PT-20,hier.HierarchicalRockets$Builder,exec_39,4,true,885600,1906
PT-20,hier.HierarchicalRockets$Builder,exec_39,5,true,1771200,3802
PT-20,hier.HierarchicalRockets$Builder,exec_39,6,true,3542400,7544
PT-20,hier.HierarchicalRockets$Builder,exec_39,7,true,7084800,15003
PT-20,hier.HierarchicalRockets$Builder,exec_39,8,true,14169600,29524
PT-20,hier.HierarchicalRockets$Builder,exec_39,9,true,28339200,57976
PT-20,hier.HierarchicalRockets$Builder,exec_39,10,true,56678400,110804
PT-20,hier.HierarchicalRockets$Builder,exec_39,11,true,113378940,215967
PT-20,hier.HierarchicalRockets$Builder,exec_39,12,true,226735740,431826
PT-20,hier.HierarchicalRockets$Builder,exec_39,13,false,453427200,862176
SAIS,demos.DiscreteMultimodal$Builder,exec_3,0,true,150.0,109
SAIS,demos.DiscreteMultimodal$Builder,exec_3,1,true,384.0,22
SAIS,demos.DiscreteMultimodal$Builder,exec_3,2,true,864.0,38
SAIS,demos.DiscreteMultimodal$Builder,exec_3,3,true,1734.0,44
SAIS,demos.DiscreteMultimodal$Builder,exec_3,4,true,3750.0,52
SAIS,demos.DiscreteMultimodal$Builder,exec_3,5,true,7776.0,56
SAIS,demos.DiscreteMultimodal$Builder,exec_3,6,true,15606.0,78
SAIS,demos.DiscreteMultimodal$Builder,exec_3,7,true,31974.0,90
SAIS,demos.DiscreteMultimodal$Builder,exec_3,8,true,64896.0,162
SAIS,demos.DiscreteMultimodal$Builder,exec_3,9,true,131424.0,221
SAIS,demos.DiscreteMultimodal$Builder,exec_3,10,true,264600.0,336
SAIS,demos.DiscreteMultimodal$Builder,exec_3,11,true,529254.0,511
SAIS,demos.DiscreteMultimodal$Builder,exec_3,12,true,1063446.0,824
SAIS,demos.DiscreteMultimodal$Builder,exec_3,13,true,2131296.0,1441
SAIS,demos.DiscreteMultimodal$Builder,exec_3,14,false,4263894.0,2750
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_26,0,true,2250,111
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_26,1,true,3750,51
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_26,2,true,7500,68
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_26,3,true,15000,84
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_26,4,true,30000,116
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_26,5,true,60000,192
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_26,6,true,120000,267
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_26,7,true,240000,710
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_26,8,true,480000,683
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_26,9,true,960000,1389
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_26,10,true,1920000,2805
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_26,11,true,3840000,5720
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_26,12,true,7680750,11446
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_26,13,true,15360750,22823
PT-10,blang.validation.internals.fixtures.Ising$Builder,exec_26,14,false,30720000,45945
PT-10,ode.MRNATransfection$Builder,exec_32,0,true,450,119
PT-10,ode.MRNATransfection$Builder,exec_32,1,true,750,38
PT-10,ode.MRNATransfection$Builder,exec_32,2,true,1500,56
PT-10,ode.MRNATransfection$Builder,exec_32,3,true,3000,97
PT-10,ode.MRNATransfection$Builder,exec_32,4,true,6000,153
PT-10,ode.MRNATransfection$Builder,exec_32,5,true,12000,348
PT-10,ode.MRNATransfection$Builder,exec_32,6,true,24000,552
PT-10,ode.MRNATransfection$Builder,exec_32,7,true,48000,1045
PT-10,ode.MRNATransfection$Builder,exec_32,8,true,96000,1604
PT-10,ode.MRNATransfection$Builder,exec_32,9,true,192000,3345
PT-10,ode.MRNATransfection$Builder,exec_32,10,true,384000,6365
PT-10,ode.MRNATransfection$Builder,exec_32,11,true,768000,12894
PT-10,ode.MRNATransfection$Builder,exec_32,12,true,1536150,25775
PT-10,ode.MRNATransfection$Builder,exec_32,13,true,3072150,46565
PT-10,ode.MRNATransfection$Builder,exec_32,14,false,6144000,90148
PT-20,demos.XY$Builder,exec_23,0,true,4500,204
PT-20,demos.XY$Builder,exec_23,1,true,7500,198
PT-20,demos.XY$Builder,exec_23,2,true,15000,145
PT-20,demos.XY$Builder,exec_23,3,true,30000,85
PT-20,demos.XY$Builder,exec_23,4,true,60000,123
PT-20,demos.XY$Builder,exec_23,5,true,120000,265
PT-20,demos.XY$Builder,exec_23,6,true,240000,438
PT-20,demos.XY$Builder,exec_23,7,true,480000,558
PT-20,demos.XY$Builder,exec_23,8,true,960000,1019
PT-20,demos.XY$Builder,exec_23,9,true,1920000,1920
PT-20,demos.XY$Builder,exec_23,10,true,3840000,3799
PT-20,demos.XY$Builder,exec_23,11,true,7681500,7640
PT-20,demos.XY$Builder,exec_23,12,true,15361500,15183
